pre,temp,sault,density
119.4,18.931,34.779,24.8751969
129.2,18.935,34.779,24.87462438
139.2,18.936,34.78,24.8755872
149.4,18.938,34.779,24.87477653
159.1,18.94,34.779,24.87470795
169,18.943,34.779,24.87439488
179.4,18.944,34.779,24.87461232
189.1,18.944,34.78,24.87581648
199.1,18.946,34.779,24.87499799
209.6,18.949,34.78,24.87547769
219.2,18.95,34.779,24.87489528
229.3,18.951,34.778,24.87433577
239.3,18.54,34.805,24.99897518
249.3,18.233,34.809,25.07886526
259.3,18.144,34.804,25.09745832
269.4,17.842,34.793,25.16355686
279.1,17.553,34.783,25.22644416
289.2,17.421,34.783,25.25865017
299.1,17.28,34.788,25.2966749
309.1,17.204,34.791,25.31751657
319.2,17.117,34.79,25.33785073
329.1,16.722,34.741,25.3937174
338.8,16.649,34.736,25.4072995
349.3,16.544,34.723,25.42214749
359.2,16.308,34.702,25.46092745
369.5,16.163,34.692,25.48688027
379.2,15.984,34.674,25.51417772
389.6,15.795,34.66,25.54652279
399.5,15.528,34.639,25.59052094
429.4,15.023,34.597,25.67048617
459,14.219,34.543,25.80200027
489.4,12.874,34.435,25.99360085
519.4,12.144,34.416,26.12114815
549,11.114,34.35,26.2611559
579.4,10.464,34.303,26.33993544
609.4,9.267,34.251,26.49973579
638.9,8.694,34.206,26.55531534
668.8,7.849,34.168,26.65265978
699.3,6.744,34.062,26.72338785
729.5,5.028,33.908,26.81300378
759.1,5.132,33.992,26.86807794
789,5.293,34.106,26.94015947
819.3,5.205,34.176,27.00615018
849,4.851,34.17,27.04183979
879.4,4.457,34.167,27.08268334
909.2,4.216,34.154,27.09795965
939.2,4.079,34.177,27.13060734
969.3,4.013,34.213,27.16622007
999.1,3.969,34.239,27.19161116
1099.2,3.646,34.313,27.28331595
1199.2,3.314,34.364,27.35629388
1299.1,3.11,34.412,27.4140619
1399.1,2.821,34.431,27.45557717
4.6,18.847,34.77,24.88446493
9.4,18.842,34.77,24.8859469
13.9,18.838,34.77,24.88716174
18.9,18.857,34.773,24.88486325
23.9,18.858,34.773,24.88483364
29,18.862,34.774,24.88481247
34.2,18.863,34.774,24.88479197
39.3,18.861,34.773,24.8847631
44,18.856,34.77,24.88394753
49.2,18.863,34.774,24.8854645
54.1,18.867,34.775,24.88543481
59.3,18.87,34.776,24.88567214
64.1,18.871,34.776,24.8856341
68.9,18.867,34.775,24.88609904
74,18.881,34.779,24.88583692
79.3,18.879,34.778,24.88581775
89.2,18.882,34.778,24.88550226
99.2,18.883,34.779,24.88646312
108.7,18.893,34.782,24.88664894
119.3,18.898,34.783,24.88662321
129,18.899,34.783,24.88680699
138.9,18.903,34.785,24.88776838
149.4,18.902,34.784,24.88773131
158.9,18.905,34.785,24.88816423
169.2,18.906,34.785,24.88837603
179.3,18.907,34.787,24.8901081
189.5,18.903,34.79,24.89387665
199.3,18.848,34.791,24.9090076
209.4,18.576,34.804,24.98787581
219.4,18.485,34.802,25.00955093
229.3,17.867,34.793,25.1557678
239,17.656,34.781,25.19833542
249.2,17.424,34.773,25.24863152
259.1,17.276,34.757,25.27223591
268.8,17.17,34.767,25.30558547
279,17.176,34.782,25.31607539
289.1,17.103,34.783,25.33460483
299.4,17.006,34.779,25.35493295
309.1,16.945,34.774,25.36588927
319.3,16.872,34.766,25.37734821
329.3,16.831,34.764,25.38584183
339.4,16.761,34.757,25.39727809
349.5,16.63,34.745,25.41905495
359.4,16.541,34.733,25.4309144
369.2,16.449,34.722,25.44415329
379.5,16.233,34.7,25.47737351
389.1,16.133,34.689,25.49215344
399.3,16,34.677,25.51358678
429.1,15.529,34.639,25.59133927
458.9,14.805,34.582,25.70719886
489.4,14.122,34.534,25.81635777
519.4,13.501,34.493,25.91373346
549.3,12.286,34.402,26.08395254
579.5,11.123,34.339,26.25167814
608.9,10.007,34.255,26.3811148
639.2,9.014,34.175,26.48106058
669.3,8.066,34.112,26.57689382
699.2,7.602,34.13,26.65878857
728.9,6.982,34.092,26.71549114
759.3,6.324,34.059,26.77659163
789.3,6.022,34.119,26.86253855
819.5,5.493,34.102,26.91381252
849.1,5.592,34.179,26.96329264
879.1,5.084,34.169,27.01509855
908.8,4.731,34.185,27.06759334
938.8,4.387,34.186,27.1057527
969,4.222,34.216,27.14716342
999.2,4.015,34.224,27.1750236
1099.5,3.742,34.284,27.25084937
1199.4,3.389,34.352,27.33971765
1299.4,3.137,34.406,27.40682717
1398.8,2.871,34.433,27.45281775
4.6,21.366,34.987,24.38417067
9.3,21.367,34.987,24.38414545
14.4,21.364,34.987,24.38524125
19,21.367,34.987,24.38466098
24.3,21.369,34.987,24.3843929
29.1,21.371,34.987,24.3840983
34.2,21.371,34.987,24.38436955
39.2,21.372,34.987,24.38436064
44.2,21.373,34.987,24.38435178
49.1,21.373,34.987,24.38461253
54.5,21.375,34.987,24.38435022
59.2,21.373,34.987,24.38515012
64,21.377,34.987,24.38430632
69.2,21.377,34.987,24.38458326
74.5,21.378,34.987,24.38459075
79.2,21.379,34.986,24.38380553
89.4,21.381,34.986,24.38379951
99.3,21.363,34.981,24.38546754
109.2,21.016,34.939,24.44880087
119.3,19.403,34.858,24.81475523
129.3,18.901,34.842,24.9314207
139,18.307,34.822,25.06569794
149.4,17.931,34.791,25.13521164
159,17.797,34.79,25.16761871
168.9,17.621,34.785,25.20699506
179,17.494,34.782,25.23581871
189.4,17.372,34.778,25.26253648
199,17.319,34.777,25.27487022
209,17.249,34.779,25.29355793
219.5,17.141,34.782,25.32203697
229.3,17.072,34.781,25.33805866
239,16.982,34.769,25.3505546
249.2,16.89,34.758,25.36422875
259.3,16.744,34.733,25.37972733
268.7,16.63,34.717,25.39444536
279.1,16.525,34.707,25.41159427
288.7,16.387,34.698,25.43700003
299.3,16.249,34.694,25.46610542
309.2,16.069,34.68,25.49689641
319.6,15.889,34.67,25.5304732
329.3,15.748,34.657,25.55263657
339.3,15.546,34.641,25.58593398
348.9,15.324,34.624,25.62247606
358.9,15.149,34.61,25.65056743
369,14.858,34.59,25.69893051
379.1,14.722,34.578,25.71938193
388.7,14.55,34.566,25.74733261
399.5,14.382,34.554,25.77418208
429.2,13.696,34.505,25.88047145
459.3,12.791,34.438,26.01145123
489.4,12.147,34.387,26.09728132
519.1,11.261,34.324,26.21366685
549.1,10.436,34.268,26.31682352
579.1,9.676,34.223,26.41066528
609.2,8.764,34.141,26.49300426
639.2,7.811,34.096,26.6011219
669.6,6.981,34.026,26.66280652
699.5,6.097,33.994,26.75329974
729.3,5.581,33.998,26.82001937
759.3,5.252,34.013,26.87092123
789,5.043,34.046,26.92131946
819.5,4.851,34.079,26.96934521
849.3,4.74,34.104,27.00173636
879.3,4.632,34.173,27.06860486
909.1,4.536,34.189,27.09197201
939.2,4.258,34.228,27.1526968
968.8,4.111,34.245,27.18168527
999.1,3.97,34.271,27.21698107
1098.8,3.564,34.344,27.31593678
